Study GUID,Reference,,,,,,,
CG15AdultST1,"Gray A, Fenn P, McGuire A. The cost of insulin-dependent diabetes mellitus (IDDM) in England and Wales. Diabetic Medicine 1995; 12 :1068–76.",,,,,,,
CG15AdultST2,"Currie C, Peters J. Costs of insulin-dependent diabetes mellitus. Diabetic Medicine 1996; 13 :684–5.",,,,,,,
CG15AdultST3,"Evans JM, MacDonald TM, Leese GP et al . Impact of type 1 and type 2 diabetes on patterns and costs of drug prescribing: a population-based study. Diabetes Care 2000; 23 :770–4.",,,,,,,
CG15AdultST4,"National Institute for Clinical Excellence. Information for National Collaborating Centres and Guideline Development Groups . The Guideline Development Process Series No. 3. London: NICE, 2004.",,,,,,,
CG15AdultST5,"Home PD, Coles J, Goldacre M et al . Health outcome indicators: Diabetes. A report of a working group to the Department of Health . Oxford: National Centre for Health Outcomes Development, 1999.",,,,,,,
CG15AdultST6,"Eccles M, Mason J. How to develop cost-conscious guidelines. Health Technology Assessment 2001; 5 :1–69.",,,,,,,
CG15AdultST7,"Murphy MK, Black NA, Lamping DL et al . Consensus development methods and their use in clinical guideline development , 1998.",,,,,,,
CG15AdultST8,"World Health Organization. Definition, diagnosis, and classification of diabetes mellitus and its complications. Report of a WHO consultation. Part 1: Diagnosis and classification of diabetes mellitus . Geneva: WHO, 1999.",,,,,,,
CG15AdultST9,"Delahanty L, Simkins SW, Camelon K. Expanded role of the dietitian in the Diabetes Control and Complications Trial: implications for clinical practice. The DCCT Research Group. Journal of the American Dietetic Association 1993; 93 :758–64, 767.",,,,,,,
CG15AdultST10,"Loveman E, Royle P, Waugh N. Specialist nurses in diabetes mellitus . The Cochrane Library, 2003.",,,,,,,
CG15AdultST11,"Sadur CN, Moline N, Costa M et al . Diabetes management in a health maintenance organization. Efficacy of care management using cluster visits. Diabetes Care 1999; 22 :2011–7.",,,,,,,
CG15AdultST12,"Thompson DM, Kozak SE, Sheps S. Insulin adjustment by a diabetes nurse educator improves glucose control in insulin-requiring diabetic patients: a randomized trial. Canadian Medical Association Journal 1999; 161 :959–62.",,,,,,,
CG15AdultST13,"Hearnshaw H, Hopkins J, Wild A et al . Mandatory, multidisciplinary education in diabetes care. Can it meet the needs of primary care organisations? Practical Diabetes International 2001; 18 :274–80.",,,,,,,
CG15AdultST14,"Koblik T, Sieradzki J, Friedlein J, Legutko J. First Polish multidisciplinary diabetic foot team: results of the first three years of operation – the Cracow study. Diabetologia Polska 1999; 6 :233–8.",,,,,,,
CG15AdultST15,"Larsson J, Apelqvist J, Agardh CD, Stenstrom A. Decreasing incidence of major amputation in diabetic patients: a consequence of a multidisciplinary foot care team approach? Diabetic Medicine 1995; 12 :770–6.",,,,,,,
CG15AdultST16,"Brink SJ, Miller M, Moltz KC. Education and multidisciplinary team care concepts for pediatric and adolescent diabetes mellitus. Journal of Pediatric Endocrinology and Metabolism 2002; 15 :1113–30.",,,,,,,
CG15AdultST17,"Yokoyama KK, Cryar AK, Griffin KC et al . Cost-effectiveness of a multidisciplinary diabetes care clinic. Drug Benefit Trends 2002; 14 :36–44.",,,,,,,
CG15AdultST18,"Dargis V, Pantelejeva O, Jonushaite A et al . Benefits of a multidisciplinary approach in the management of recurrent diabetic foot ulceration in Lithuania: a prospective study. Diabetes Care 1999; 22 :1428–31.",,,,,,,
CG15AdultST19,"Cox D, Gonder-Frederick L, Polonsky W et al . A multicenter evaluation of blood glucose awareness training – II. Diabetes Care 1995; 18 :523–8.",,,,,,,
CG15AdultST20,"Apelqvist J, Ragnarson-Tennvall G, Persson U, Larsson J. Diabetic foot ulcers in a multidisciplinary setting. An economic analysis of primary healing and healing with amputation. Journal of Internal Medicine 1994; 235 :463–71. 153",,,,,,,
CG15AdultST21,Frykberg RG. Team approach toward lower extremity amputation prevention in diabetes. Journal of the American Podiatric Medical Association 1997; 87 :305–12.,,,,,,,
CG15AdultST22,"Riazi A, Hammersley S, Eiser C et al . Patients’ experiences of the diabetes annual review. Practical Diabetes International 2000; 17 :226–30.",,,,,,,
CG15AdultST23,"Braid E, Campbell B, Curtis S et al . The diabetes annual review as an educational tool: assessment and learning integrated with care, screening, and audit. Diabetic Medicine 1992; 9 :389–94.",,,,,,,
CG15AdultST24,"International Diabetes Foundation. A guide to type 1 (insulin dependent) diabetes mellitus . Brussels: IDF, 1998.",,,,,,,
CG15AdultST25,"Grabert M, Schweiggert F, Holl RW. A framework for diabetes documentation and quality management in Germany: 10 years of experience with DPV. Computer Methods and Programs in Biomedicine 2002; 69 : 115–21.",,,,,,,
CG15AdultST26,"Azzopardi J, Fenech FF, Junoussov Z et al . A computerized health screening and follow-up system in diabetes mellitus. Diabetic Medicine 1995; 12 :271–6.",,,,,,,
CG15AdultST27,"Burnett SD, Woolf CM, Yudkin JS. Developing a district diabetic register. British Medical Journal 1992; 305 :627–30.",,,,,,,
CG15AdultST28,"Burnett SD, Press M, Yudkin JS. Compiling a district diabetic register: theoretical and practical considerations. Diabetic Medicine 1993; 10 :199–200.",,,,,,,
CG15AdultST29,"Elwyn GJ, Vaughan NJ, Stott NC. District diabetes registers: more trouble than they’re worth? Review. Diabetic Medicine 1998; 15 (Suppl 3):S44–8.",,,,,,,
CG15AdultST30,"Harris MF, Priddin D, Ruscoe W et al . Quality of care provided by general practitioners using or not using division-based diabetes registers. Medical Journal of Australia 2002; 177 :250–2.",,,,,,,
CG15AdultST31,"Howitt AJ, Cheales NA. Diabetes registers: a grassroots approach. British Medical Journal 1993; 307 :1046–8.",,,,,,,
CG15AdultST32,"Kelly W, Bilous R, Murray G. A comprehensive register for diabetic outpatients: experience with desktop computing from 1987–1996. Computer Methods and Programs in Biomedicine 1998; 56 :205–10.",,,,,,,
CG15AdultST33,"Coppell K, Manning P; Otago Diabetes Team. Establishing a regional diabetes register and a description of the registered population after one year. New Zealand Medical Journal 2002; 115 :U146.",,,,,,,
CG15AdultST34,"Kleschen MZ, Holbrook J, Rothbaum AK et al . Improving the pneumococcal immunization rate for patients with diabetes in a managed care population: a simple intervention with a rapid effect. Joint Commission Journal on Quality Improvement 2000; 26 :538–46.",,,,,,,
CG15AdultST35,"Kopelman PG, Michell JC, Sanderson AJ. DIAMOND: a computerized system for the management and evaluation of district-wide diabetes care. Diabetic Medicine 1995; 12 :83–7.",,,,,,,
CG15AdultST36,"Vaughan NJ, Shaw M, Boer F et al . Creation of a District Diabetes Register using the DIALOG system. Review. Diabetic Medicine 1996; 13 :175–81.",,,,,,,
CG15AdultST37,"Day JL, Metcalfe J, Johnson P. Benefits provided by an integrated education and clinical diabetes centre: a follow-up study. Diabetic Medicine 1992; 9 :855–9.",,,,,,,
CG15AdultST38,"Bridgford A, Davis TM. A comprehensive patient-held record for diabetes. Part one: Initial development of the Diabetes Databank. Practical Diabetes International 2001; 18 :241–5.",,,,,,,
CG15AdultST39,"Davis TM, Bridgford A. A comprehensive patient-held record for diabetes. Part two: Large-scale assessment of the diabetes databank by patients and health care workers. Practical Diabetes International 2001; 18 :311–4.",,,,,,,
CG15AdultST40,"Engelbrecht R, Hildebrand C, Kuhnel E et al . A chip card for patients with diabetes. Computer Methods and Programs in Biomedicine 1994; 45 :33–5.",,,,,,,
CG15AdultST41,"Engelbrecht R, Hildebrand C, Brugues E et al . DIABCARD – an application of a portable medical record for persons with diabetes. Medical Informatics 1996; 21 :273–82.",,,,,,,
CG15AdultST42,"Engelbrecht R, Hildebrand C. DIABCARD a smart card for patients with chronic diseases. Clinical Performance and Quality Health Care 1997; 5 :67–70.",,,,,,,
CG15AdultST43,"Engelbrecht R, Hildebrand C. Telemedicine and diabetes. Studies in Health Technology and Informatics 1999; 64 :142–54.",,,,,,,
CG15AdultST44,"Fischer U, Salzsieder E, Menzel R et al . Primary health care of diabetic patients in a specialized outpatient setting: a DIABCARE-based analysis. Diabète et Métabolisme 1993; 19 :188–94.",,,,,,,
CG15AdultST45,"Chiarelli F, Verrotti A, Di Ricco L, LaPorte RE. Information superhighway, Internet and diabetes. Diabetes, Nutrition and Metabolism – Clinical and Experimental 1998; 11 :219–24.",,,,,,,
CG15AdultST46,"Gorman C, Looker J, Fisk T et al . A clinically useful diabetes electronic medical record: lessons from the past; pointers toward the future. Review. European Journal of Endocrinology 1996; 134 :31–42.",,,,,,,
CG15AdultST47,"Piwernetz K, Renner R, Mohrlein A et al . Analysis and processing of data in a hospital-based diabetes management system. Hormone and Metabolic Research Supplement 1990; 24 :109–15.",,,,,,,
CG15AdultST48,"Smith SA, Murphy ME, Huschka TR et al . Impact of a diabetes electronic management system on the care of patients seen in a subspecialty diabetes clinic. Diabetes Care 1998; 21 :972–6.",,,,,,,
CG15AdultST49,"Stroebel RJ, Scheitel SM, Fitz JS et al . A randomized trial of three diabetes registry implementation strategies in a community internal medicine practice. Joint Commission Journal on Quality Improvement 2002; 28 :441–50.",,,,,,,
CG15AdultST50,"Biermann E, Dietrich W, Rihl J, Standl E. Are there time and cost savings by using telemanagement for patients on intensified insulin therapy? A randomised, controlled trial. Computer Methods and Programs in Biomedicine 2002; 69 :137–46.",,,,,,,
CG15AdultST51,"McGill M, Constantino M, Yue DK. Integrating telemedicine into a National Diabetes Footcare Network. Practical Diabetes International 2000; 17 :235–8.",,,,,,,
CG15AdultST52,"Cummings DM, Morrissey S, Barondes MJ et al . Screening for diabetic retinopathy in rural areas: the potential of telemedicine. Journal of Rural Health 2001; 17 :25–31.",,,,,,,
CG15AdultST53,"McCulloch DK. Impact of endocrine and diabetes team consultation on hospital length of stay for patients with diabetes. Diabetes Spectrum 1996; 9 :180–1. [Commentary on Levetan CS, Salas R, Wiltes IF et al . American Journal of Medicine 1995; 99 :22–8].",,,,,,,
CG15AdultST54,"Levetan CS, Salas JR, Wilets IF, Zumoff B. Impact of endocrine and diabetes team consultation on hospital length of stay for patients with diabetes. American Journal of Medicine 1995; 99 :22–8.",,,,,,,
CG15AdultST55,"Koproski J, Pretto Z, Poretsky L. Effects of an intervention by a diabetes team in hospitalized patients with diabetes. Diabetes Care 1997; 20 :1553–5.",,,,,,,
CG15AdultST56,"Hentinen M, Kyngas H. Diabetic adolescents’ compliance with health regimens and associated factors. International Journal of Nursing Studies 1996; 33 :325–37.",,,,,,,
CG15AdultST57,"Kaplan RM, Hartwell SL. Differential effects of social support and social network on physiological and social outcomes in men and women with type II diabetes. Health Psychology 1987; 6 :387–98.",,,,,,,
CG15AdultST58,"Fisher L, Chesla CA, Bartz RJ et al . The family and type 2 diabetes: a framework for intervention. Diabetes Educator 1998; 24 :599–607.",,,,,,,
